Terms,Simplified Definition,,Technical Definition,,,,Illustration
μBTC (bit),A μBTC is one-millionth of a Bitcoin (0.000001 BTC).,,"μBTC or bit stands for microbitcoin, also commonly referred to as a ""bit."" It is a unit of Bitcoin equal to 0.000001 BTC (one millionth of a Bitcoin).",,,,
Accessibility,"Accessibility means making sure everyone, including people with disabilities, can use Bitcoin apps.",,"Accessibility in the context of Bitcoin design refers to ensuring that Bitcoin products and services can be used by the widest possible range of individuals, including those with disabilities, by following design standards and providing features that accommodate diverse needs and abilities.",,,,
Address,"An address is like your Bitcoin account number, where people can send you Bitcoin.",,A Bitcoin address is a string of letters and numbers that represents a destination on the Bitcoin blockchain where Bitcoin can be sent. It is derived from a public key and serves as a unique identifier for receiving funds.,,,,
ASICs,ASICs are super-fast computer chips made just for mining Bitcoin.,,"ASICs (Application-Specific Integrated Circuits) are specialized computer chips designed and manufactured for a single, specific task. In the context of Bitcoin, ASICs are specifically built for the highly repetitive and computationally intensive task of performing the SHA-256 hashing calculations required for Bitcoin mining. They are significantly more efficient and powerful for mining than general-purpose CPUs or GPUs.",,,,
Bech32 Address,"A Bech32 address is a newer, cheaper, and more error-proof way to send Bitcoin that starts with “bc1”.",,"A Bech32 address is a native SegWit (Segregated Witness) Bitcoin address format that starts with ""bc1"". Bech32 uses a different encoding scheme (bech32) that is more efficient for storing SegWit witness data, resulting in lower transaction fees. It also has improved error detection capabilities and is case-insensitive, making it less prone to human error when transcribing.",,,,
BFT (Byzantine Fault Tolerance),"A fancy way of saying: even if some computers in the network lie or break, the system can still work and stay secure. It’s how Bitcoin handles bad actors without falling apart.",,Byzantine Fault Tolerance is the ability of a distributed network to reach consensus even when some nodes act maliciously or unpredictably. It ensures the system remains functional despite faults or adversarial behavior.,,,,
Bitcoin,"Bitcoin is digital money that runs without banks, that anyone with Internet access can participate in and contribute to using a public ledger called the blockchain.",,"Bitcoin is a decentralized digital currency that operates on a peer-to-peer network. It is based on a distributed ledger called the blockchain, which records all transactions. Transactions are verified by network participants (miners) through a process called mining, which relies on a Proof-of-Work consensus mechanism. The supply of Bitcoin is limited and governed by its protocol rules.",,,,
Block,A block is a group of Bitcoin transactions added to the blockchain.,,"A block is a fundamental data structure in the Bitcoin blockchain. It is a container that holds a batch of validated Bitcoin transactions, a timestamp, a reference (cryptographic hash) to the previous block, and a nonce. Blocks are added chronologically to the blockchain through the mining process.",,,,
Blockchain,"A blockchain is like a shared notebook that everyone can see and no one can erase. New pages are added one after another, and once written, they can’t be changed.",,"A blockchain is a decentralized, append-only database where records (called blocks) are linked together chronologically using cryptographic hashes. Each participant maintains a copy of the ledger, ensuring transparency and immutability.",,,,
Block Confirmation,Block confirmation means the network has checked and accepted a new block as valid.,,"Block confirmation is the process by which a newly created block is verified by the majority of the Bitcoin network nodes and added to their copy of the blockchain. Once a block is confirmed, the transactions contained within it are considered immutable and are effectively finalized.",,,,
Block Explorer,A block explorer is a website that lets you look up Bitcoin transactions and wallet activity.,,"A block explorer is an online tool or website that allows users to view and search the contents of a blockchain, such as the Bitcoin blockchain. It provides real-time data and historical information about blocks, transactions, addresses, network statistics, and more, offering a transparent window into the activity on the network.",,,,
Block Reward,A block reward is the new Bitcoin and fees given to the miner who adds a new block.,,The block reward is the sum of newly minted bitcoins and the transaction fees from the transactions included in a block that is awarded to the miner who successfully finds and adds that block to the blockchain. The amount of newly minted bitcoins in the block reward decreases over time through a process called halving.,,,,
BOLT11 Invoice,BOLT11 invoice is a Lightning payment request with all the details packed into one QR code or string on the Lightning network.,,"A BOLT11 invoice is a standardized format for requesting a payment over the Lightning Network. Defined by the ""Basis of Lightning Technology"" (BOLT) specifications, a BOLT11 invoice is a long, encoded string that contains all the necessary information for a payer's Lightning wallet to route and complete a payment, including the recipient's node public key, the amount requested, a payment hash, and an expiry time.",,,,
BOLT12 Offer,"BOLT12 offers a reusable and flexible code for requesting Lightning payments, with extra privacy and features.",,"This offers a newer, more flexible standard for requesting payments on the Lightning Network, designed to address some limitations of BOLT11 invoices. BOLT12 offers are reusable and allow for more complex interactions between payer and payee, such as requesting a payment without a predetermined amount (zero-amount offers) and supporting recurring payments. They provide enhanced privacy features compared to BOLT11 invoices.",,,,
BTC,BTC is the short name for Bitcoin.,,BTC is the common abbreviation and ticker symbol used to represent Bitcoin.,,,,
CoinJoin,"CoinJoin mixes your Bitcoin with others in one transaction to make it harder to trace, for more privacy.",,"CoinJoin is a technique used to improve Bitcoin transaction privacy by combining inputs from multiple users into a single transaction. It is a collaborative transaction where several participants agree to mix their unspent transaction outputs (UTXOs) as inputs and define new outputs. While the transaction amounts are known, it becomes more difficult for external observers to trace which output belongs to which participant's input, breaking the direct link between sender and receiver.",,,,
Cold Storage,Cold storage keeps your Bitcoin keys completely offline for better security.,,"Cold storage refers to the practice of storing Bitcoin private keys offline, disconnected from the internet. This is achieved using hardware wallets, paper wallets, or air-gapped computers, significantly reducing the risk of theft from online attacks.",,,,
Confirmation,A confirmation means your Bitcoin transaction has been added to the blockchain.,,A confirmation occurs when a Bitcoin transaction is included in a block that is added to the blockchain. Each subsequent block added on top of that block counts as an additional confirmation. A higher number of confirmations indicates a greater degree of finality and immutability for the transaction.,,,,
Consensus,"A way for everyone in the Bitcoin network to agree on what’s true, like who owns what. Even without a boss, everyone follows the same rules to stay in sync.",,"Consensus refers to the mechanisms used by distributed systems like Bitcoin to agree on a single state of the network. It ensures that all participants have a consistent view of the blockchain, even in the presence of faults or malicious actors.",,,,
Consensus Mechanism,Bitcoin’s consensus mechanism is the system Bitcoin uses (Proof-of-Work) to make sure everyone agrees on the blockchain on which transactions are valid.,,"A consensus mechanism in a distributed system like Bitcoin is the protocol or algorithm used to achieve agreement among the participating nodes on the validity of transactions and the state of the distributed ledger (blockchain). In Bitcoin, the consensus mechanism is Proof-of-Work (PoW), which requires miners to compete by expending computational resources to solve a cryptographic puzzle to validate blocks and reach a consensus.",,,,
Custodian,"A custodian is a person who holds your Bitcoin for you, like a bank.",,"In Bitcoin and cryptocurrencies, a custodian is a third party that holds and manages the private keys to a user's Bitcoin on their behalf. This is similar to how a bank holds funds for its customers.",,,,
Decentralization,Decentralization means no single person or company controls Bitcoin.,,"Decentralization is the core of Bitcoin, meaning that no single entity or point of control governs the network. It is maintained by a distributed network of nodes and miners, making it resistant to censorship and single points of failure.",,,,
Distributed Ledger,A distributed ledger is a shared online record book across the Bitcoin network that records all transactions that everyone can see and no one can secretly change.,,"A distributed ledger is a database that is shared and synchronized across multiple computers or nodes in a network. In Bitcoin, the blockchain serves as a distributed ledger, maintaining a transparent, immutable, and cryptographically secured record of all Bitcoin transactions without a central authority.",,,,
Double-spend,"A double-spend is when someone tries to spend the same Bitcoin twice, which the network is designed to prevent.",,"A double-spend is an attack or error where the same Bitcoin is illegitimately spent more than once. The Bitcoin protocol, through its blockchain and consensus mechanism, is designed to prevent double-spending by ensuring that once a transaction is confirmed, the spent outputs cannot be used again.",,,,
Fiat Currencies,"Fiat money is regular money, like Naira or Dollars that gets its value because the government says it does.",,A medium of exchange is an asset or instrument that is widely accepted as a method for the payment of goods and services. It eliminates the inefficiencies of a barter system. Fiat currencies are government-issued money that is not backed by a physical commodity like gold or silver. Its value is derived from trust in the government that issues it.,,,,
